1000	0.003572
2000	0.068193
3000	0.099425
4000	0.015084
5000	0.019576
6000	0.017143
7000	0.02004
8000	0.022657
9000	0.035171
10000	0.028504
11000	0.031908
12000	0.034858
13000	0.037214
14000	0.040121
15000	0.042744
16000	0.045488
17000	0.048907
18000	0.052221
19000	0.055083
20000	0.058581
21000	0.061316
22000	0.064487
23000	0.067173
24000	0.069848
25000	0.072729
26000	0.076182
27000	0.078705
28000	0.08026
29000	0.083606
30000	0.086356
31000	0.089435
32000	0.090338
33000	0.094009
34000	0.098351
35000	0.101007
36000	0.105532
37000	0.109048
38000	0.111932
39000	0.11521
40000	0.117317
41000	0.120967
42000	0.125101
43000	0.128232
44000	0.129111
45000	0.131829
46000	0.134152
47000	0.137346
48000	0.141001
49000	0.145388
50000	0.147927
