1000	0.002136
2000	0.101337
3000	0.018748
4000	0.034013
5000	0.052149
6000	0.075033
7000	0.102772
8000	0.135053
9000	0.169917
10000	0.211119
11000	0.250299
12000	0.296029
13000	0.348222
14000	0.402279
15000	0.463199
16000	0.531948
17000	0.59359
18000	0.99146
19000	0.745548
20000	0.83762
21000	0.90785
22000	0.997326
23000	1.11176
24000	1.19461
25000	1.28745
26000	1.3944
27000	1.50685
28000	1.61082
29000	2.58617
30000	1.85578
31000	1.98778
32000	2.10278
33000	2.24209
34000	2.37226
35000	2.52737
36000	3.97088
37000	4.25775
38000	2.9784
39000	4.67644
40000	3.28782
41000	3.46831
42000	3.6311
43000	3.87588
44000	3.98614
45000	4.17352
46000	4.34387
47000	4.55338
48000	4.73825
49000	4.91946
50000	5.13804
