1000	0.002717
2000	0.012373
3000	0.028142
4000	0.048292
5000	0.052343
6000	0.074497
7000	0.100813
8000	0.131156
9000	0.165661
10000	0.206217
11000	0.24575
12000	0.293348
13000	0.344135
14000	0.400462
15000	0.456385
16000	0.518422
17000	0.59478
18000	0.66002
19000	0.747945
20000	9.65688
21000	0.906353
22000	4.05436
23000	1.07802
24000	1.17003
25000	1.27326
26000	1.38292
27000	1.49795
28000	1.59986
29000	1.70864
30000	1.85216
31000	1.96047
32000	2.10624
33000	2.21974
34000	3.35038
35000	2.50135
36000	2.67149
37000	2.81122
38000	2.9568
39000	3.10566
40000	3.26834
41000	3.46676
42000	3.607
43000	3.79534
44000	3.96233
45000	4.19772
46000	4.32712
47000	4.49997
48000	4.69897
49000	4.891
50000	5.08561
