2	3.9e-05
4	2e-06
8	3e-06
16	8e-06
32	2.4e-05
64	0.000104
128	0.000585
256	0.002495
512	0.011528
1024	0.049719
2048	0.134837
4096	0.959266
8192	2.53784
16384	10.9551
